# gam   Re(zetaprime(rho))   Im(zetaprime(rho))
189.416158656016937084852289100 4.84494448488647089515531964877 1.41336291230705727842217290490
192.026656360713786547283631426 1.42756675727225583391133267611 -2.37339996880301581907868942560
193.079726603845704047402205794 2.27651519827735945730302359844 0.729845360514452572772069486321
195.265396679529235321463187815 2.72490609382241882391765622165 -0.835544969293718331281402689096
196.876481840958316948622263915 2.17532446326956547496372492575 0.158022612202594941927765184435
198.015309676251912424919918702 0.992744063625978523689815226591 2.99780322800829317632085416373
201.264751943703788733016133428 1.14109554242828594245438631463 -3.18433989572340669851976326113
202.493594514140534277686660638 2.18071290780741507790740151093 -0.480843932004866472148907302263
204.189671803104554330716438386 2.07572436178719569909486683452 -0.0499702214000952991393547036953
205.394697202163286025212379391 1.46963087966580927222497739605 2.38365160386196151371880390787
207.906258887806209861501967908 4.40148734822339753915557212897 -1.01541837430430432677421538694
209.576509716856259852835644290 4.11774796816642235254745582151 -0.0443237089562269426385500093181
211.690862595365307563907486731 2.76507029347508183275166741304 -1.82039918608080889978029701409
213.347919359712666190639122021 1.95301149831556268320109075071 -0.730682884506724762100418185188
214.547044783491423222944201073 1.73392034558693999411979798894 1.36923980029440202876965891452
216.169538508263700265869563354 2.59392346622696572348674433652 3.57204019576564463307958647250
219.067596349021378985677256590 2.04580604233898508582464532052 -3.58549162163851929558093585636
220.714918839314003369115592634 0.986240892781184035259231523771 -1.09812018672898300212756662293
221.430705554693338732097475119 0.835973373544058893896073652147 1.38659700256709548099693512298
224.007000254604335211728875529 2.41075539752980584771235297934 -1.09484888043718433175650112547
224.983324669582287503782523681 1.63287835693795914135871271259 2.38083583419161616004690369405
227.421444279679291310461436161 4.97561132698729733089690623118 -1.30940771108314289243056266926
229.337413305525348107760083306 3.15270126985119423337098607996 -1.96736705696721558339170734181
231.250188700499164773806186770 0.964139033234959903533922021387 -1.12151618128038595715289374050
231.987235253180248603771668539 0.851471709447844733722172876925 1.19456158033701678041684594826
233.693404178908300640704494733 2.29168685121596087452326542408 3.66009157254666410814593540831
236.524229665816205802475507956 2.24558489653549433174954350890 -3.30417462926310558637859097673
237.769820480925204003236625926 2.92547554792976410352037991611 -0.274429115359613982378669038762
239.555477573327628740268932034 2.84527675279528886442827638455 -0.574723476512612620127738462148
241.049157796216586412837921410 2.84806763895924948439048881594 0.639225892525168105604577719990
242.823271934222600016826474459 3.00139968350572516845944921777 0.373828232640764253721591369899
244.070898497078158236816527990 2.32658251225255204847229611488 3.50058824947910133329760884799
247.136990074897499467550968179 0.213767932275609184119989935101 -2.78151639060071243911722753184
248.101990060148459256762142085 1.84849475651766908845174048047 -0.232673903350071173249911119328
249.573689644707209192329794189 2.20442850252931452389917685377 0.704304180773750076062857799968
251.014947795016001142954155104 2.42248487845340680216691968535 2.47189715172591648226418870056
253.069986747999477194599013786 5.43154061242904399862806458250 0.786345273390756873936433656973
255.306256454914022753086491794 2.17647967417135924298547370768 -2.48731293581681097367586412260
256.380713694434477789358382340 2.86408607854298685636619362519 0.880652916424149930942617801903
258.610439491531368208983058645 2.03594044785563972528751036610 -1.71388455914677954149621213979
259.874406989678000350672844614 1.74301379037630806806323275652 0.158988494914302412629540720646
260.805084504596870185931233472 0.189224327616097499184890233352 2.65266415780033713936112508341
263.573893904870132233081588131 5.24895039855778430505496640418 -3.03535303000659346279566608080
265.557851838876320292477308964 1.16262534630444113981274166849 -2.24477470795527065142808992302
266.614973781501072495720112974 1.87144999976379038673761914981 0.128812376165346994827065465778
267.921915082824059440378967172 2.06123803007515924288309106641 1.95735993095721555642448632053
269.970449023997602594693505319 4.14559869191317468578855016790 0.221394144193437720823511755389
271.494055641644999018179416758 4.30757641975434202790044889574 1.46626165269250323643903582003
273.459609188403287045714250299 5.01041027546339834737212069498 -1.19996039264781331740237369285
275.587492649343841248740702619 0.979298323509170375834446739620 -1.98332393152255055743768109888
276.452049503132938679887343638 1.75107570670071308696211913532 0.728627327049681836188873767612
278.250743529841954492748276711 2.39050932167216524288034661477 0.311825974785975490797807346774
279.229250927745189228409880452 0.532135781448657529800982731765 3.40695619395308505228231416280
282.465114765052096233027201187 -0.0517866002888204228996873155727 -2.61806613821648020499025024743
283.211185733233867420493837943 1.97067711966922346161223059388 0.259392005866689438728759983568
284.835963980904724133157633923 3.15101957270011936701240517037 0.561373356670367186717879414553
286.667445363002884292847624146 2.93392055744284159014271343350 -0.526935733647773350933854605258
287.911920501422187155254120272 2.64103515117226303879546410233 1.75044716838218635146545764399
289.579854929218834152738023569 4.52666122940193717131394564840 2.68124692225257973401715108711
291.846291329067395835513054425 4.00677885608530348841929004617 -3.16740000565069899739889058018
293.558434139356285356776697106 1.85746999885814680914450392380 -1.97376265061306985257243477177
294.965369619265542175066448639 1.15661572615640541771405393013 -0.462105452482933080526699186027
295.573254878958292388460831459 -0.0319419071388875974712263666115 1.55709432124425993393923805273
297.979277061943415209929682958 5.83959346564513957966571751484 0.557461220340499754929188815816
299.840326053721312960027052525 4.72066698960767308027081569374 -1.76160142406500704702730921014
301.649325462194183623470100208 2.19979787066607399304342778380 -1.90815435452110330057375569123
302.696749589606917051751477095 2.62475939356580737536410084418 1.10561729555125509044422083604
304.864371340857297700148749903 1.78695030453791435231440136393 -1.39609741308837884746456178773
305.728912602036809289222821262 1.49674557575626410504919856135 1.54015910939907387427788518424
307.219496128170054789410033400 2.54730446696528833115499109315 4.38113085376571045497571669851
310.109463146701898804786219768 0.461665322320380035806636842687 -3.55254559344765441337140006324
311.165141530356003270942670800 2.00188395371778633852057655089 -0.751098164606860960532878208604
312.427801180600891980485983093 2.31454950314431306395539564648 0.760961098697828235907450814157
313.985285731158922979048965755 3.02083984844208517744755224841 1.33145966055244289731812255751
315.475616089475733868596078144 3.83772146707640720922535320389 2.85901402810636693429346773209
317.734805942370180395645494205 3.38518372568965266891505423030 -2.55153468499883251105744799573
318.853104256316597906689184548 3.80860510831119506368128743624 1.18227196947663126121599040683
321.160134309113578291921471417 1.22315189291685922507060657126 -2.35214273635954257175064138385
322.144558672482932298837445006 1.93006363703676454850362707536 0.219384480239629643868876706218
323.466969557512050506212030415 2.12880906038118150459954179955 1.61890606204365824431653804412
324.862866051739613264980086995 2.50307171702253890501187120669 4.25932198780404439819891698531
327.443901261905457343469263816 3.31460253382513641747528305885 -4.31520374611947864686346978354
329.033071680480934033614727577 1.39029393988231200888732754403 -1.81628739506205341137507028613
329.953239728233866343892122189 1.92471939440420330858812604083 0.819058059990589632755163737290
331.474467582663424375661753866 3.17861123828915869956781181811 1.85953395050042193588022903217
333.645378524869850584961683081 1.69988712451684786920844346776 -1.25822595882778017371002232657
334.211354833244383232403407959 0.438798328971610509562205327044 2.27281401975656018523558290216
